concat,Product,Cpu_Full,Memory_Full,Gpu_Full
1550Windows 10Intel817.3Nvidia GeForce GTX 1060,GP72MVR 7RFX,Intel Core i7 7700HQ 2.8GHz,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1060
1548Windows 10Intel1617.3Nvidia GeForce GTX 1050,ROG GL703VD-GC028T,Intel Core i7 7700HQ 2.8GHz,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1050
1543Windows 10Intel1615.6Nvidia GeForce 930M,Tecra A50-C-21G,Intel Core i7 6500U 2.5GHz,512GB SSD,Nvidia GeForce 930M
1540No OSIntel1615.6Nvidia GeForce MX150,Mi Notebook,Intel Core i7 8550U 1.8GHz,256GB SSD,Nvidia GeForce MX150
1539Windows 10Intel813.3Intel HD Graphics 620,ThinkPad Yoga,Intel Core i5 7200U 2.5GHz,256GB SSD,Intel HD Graphics 620
1539Windows 10Intel813.3Intel UHD Graphics 620,XPS 13,Intel Core i5 8250U 1.6GHz,256GB SSD,Intel UHD Graphics 620
1539Windows 10Intel815.6Nvidia GeForce GTX 1060,Legion Y720-15IKB,Intel Core i7 7700HQ 2.8GHz,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1060
1539Windows 10Intel813.3Intel HD Graphics 620,Spectre X360,Intel Core i7 7500U 2.7GHz,256GB SSD,Intel HD Graphics 620
1539Windows 10Intel813.3Intel UHD Graphics 620,XPS 13,Intel Core i7 8550U 1.8GHz,256GB SSD,Intel UHD Graphics 620
1539Windows 10Intel815.6Intel HD Graphics 520,Tecra Z50-C-144,Intel Core i7 6500U 2.5GHz,256GB SSD,Intel HD Graphics 520
1539Windows 10Intel1613.3Intel HD Graphics 620,Envy x360,Intel Core i7 7500U 2.7GHz,256GB SSD,Intel HD Graphics 620
1539Windows 10Intel817.3Nvidia GeForce GTX 965M,Omen 17-W006na,Intel Core i5 6300HQ 2.3GHz,128GB SSD +  1TB HDD,Nvidia GeForce GTX 965M
1539Windows 10Intel812.5Intel HD Graphics 515,Yoga 900S-12ISK,Intel Core M 6Y75 1.2GHz,512GB SSD,Intel HD Graphics 515
1539Windows 10Intel813.3Intel UHD Graphics 620,Spectre x360,Intel Core i5 8250U 1.6GHz,256GB SSD,Intel UHD Graphics 620
1538No OSIntel1615.6Nvidia GeForce GTX 1060,Legion Y520-15IKBN,Intel Core i7 7700HQ 2.8GHz,512GB SSD,Nvidia GeForce GTX 1060
1536Windows 10Intel1617.3AMD Radeon 530,Inspiron 5770,Intel Core i7 8550U 1.8GHz,256GB SSD +  2TB HDD,AMD Radeon 530
1529Windows 10Intel815.6Intel HD Graphics 620,ThinkPad T570,Intel Core i5 7200U 2.5GHz,256GB SSD,Intel HD Graphics 620
1528Windows 10Intel815.6Intel HD Graphics 620,EliteBook 850,Intel Core i7 7500U 2.7GHz,512GB SSD,Intel HD Graphics 620
1528Windows 10Intel812.5Intel HD Graphics 620,EliteBook 820,Intel Core i5 7300U 2.6GHz,256GB SSD,Intel HD Graphics 620
1527Windows 10Intel815.6Intel HD Graphics 620,Tecra A50-D-11D,Intel Core i7 7500U 2.7GHz,256GB SSD,Intel HD Graphics 620
1517Windows 10Intel813.3Intel Iris Plus Graphics 640,XPS 13,Intel Core i7 7560U 2.4GHz,256GB SSD,Intel Iris Plus Graphics 640
1517Windows 10Intel1617.3Nvidia GeForce GTX 1050,Omen 17-W295,Intel Core i7 7700HQ 2.8GHz,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1050
1517Windows 10Intel813.3Intel Iris Plus Graphics 640,XPS 13,Intel Core i7 7560U 2.4GHz,256GB SSD,Intel Iris Plus Graphics 640
1515Windows 10Intel815.6Intel HD Graphics 620,Latitude 5580,Intel Core i5 7440HQ 2.8GHz,256GB SSD,Intel HD Graphics 620
1507Windows 10Intel1217.3Nvidia GeForce GTX 1050,Rog GL753VD-GC082T,Intel Core i5 7300HQ 2.5GHz,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050
1506Windows 10Intel815.6AMD FirePro W5130M,Precision 3510,Intel Core i5 6440HQ 2.6GHz,500GB HDD,AMD FirePro W5130M
1506Windows 10Intel815.6Nvidia GeForce 930MX,Latitude 5580,Intel Core i7 7600U 2.8GHz,256GB SSD,Nvidia GeForce 930MX
1500Windows 10Intel814Intel HD Graphics 620,Thinkpad T470,Intel Core i5 7200U 2.5GHz,180GB SSD,Intel HD Graphics 620
1499Windows 10Intel813.3Intel HD Graphics 520,Portege Z30-C-16L,Intel Core i7 6500U 2.5GHz,256GB SSD,Intel HD Graphics 520
1494Windows 10Intel813.3Intel HD Graphics 620,ZenBook Flip,Intel Core i5 7200U 2.5GHz,256GB SSD,Intel HD Graphics 620
1485macOSIntel813.3Intel Iris Plus Graphics 640,MacBook Pro,Intel Core i5 2.3GHz,128GB SSD,Intel Iris Plus Graphics 640
1484Windows 10Intel815.6Nvidia GeForce GTX 1050,VivoBook Pro,Intel Core i7 7700HQ 2.8GHz,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050
1484Windows 10Intel1615.6Nvidia GeForce GTX 1050 Ti,Inspiron 7577,Intel Core i7 7700HQ 2.8GHz,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti
1484Windows 10Intel813Intel HD Graphics 620,MateBook X,Intel Core i5 7200U 2.5GHz,256GB SSD,Intel HD Graphics 620
1484Windows 10Intel817.3Nvidia GeForce GTX 1050 Ti,Leopard GP72M,Intel Core i7 7700HQ 2.8GHz,256GB SSD,Nvidia GeForce GTX 1050 Ti
1484Windows 10Intel813.9Intel HD Graphics 620,Yoga 910-13IKB,Intel Core i7 7500U 2.7GHz,256GB SSD,Intel HD Graphics 620
1484Windows 10Intel815.6AMD Radeon R7 M465,EliteBook 850,Intel Core i5 7300U 2.6GHz,256GB SSD,AMD Radeon R7 M465
1484Windows 10Intel1615.6Nvidia GeForce GTX 1050 Ti,Inspiron 7567,Intel Core i7 7700HQ 2.8GHz,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti
1484Windows 10Intel815.6Intel HD Graphics 520,ThinkPad T560,Intel Core i5 6200U 2.3GHz,256GB SSD,Intel HD Graphics 520
1484Windows 10Intel813.3Intel HD Graphics 620,Spectre 13-V111dx,Intel Core i7 7500U 2.7GHz,256GB SSD,Intel HD Graphics 620
1483Windows 10Intel812.5Intel HD Graphics 520,EliteBook 820,Intel Core i7 6500U 2.5GHz,256GB SSD,Intel HD Graphics 520
1480Windows 10Intel817.3Nvidia GeForce GTX 1050 Ti,GL72M 7REX,Intel Core i7 7700HQ 2.8GHz,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti
1474Windows 10Intel814Intel HD Graphics 620,ThinkPad T470,Intel Core i5 7200U 2.5GHz,256GB SSD,Intel HD Graphics 620
1474Windows 10 SIntel813.5Intel HD Graphics 620,Surface Laptop,Intel Core i5 7200U 2.5GHz,256GB SSD,Intel HD Graphics 620
1474Windows 7Intel814Intel HD Graphics 520,ThinkPad L470,Intel Core i5 6200U 2.3GHz,256GB SSD,Intel HD Graphics 520
1473Windows 10Intel815.6Nvidia GeForce GTX1060,FX502VM-DM560T (i7-7700HQ/8GB/1TB,Intel Core i7 7700HQ 2.8GHz,128GB SSD +  1TB HDD,Nvidia GeForce GTX1060
1473Windows 10Intel1615.6Nvidia GeForce GTX 960M,Rog GL552VW-CN470T,Intel Core i7 6700HQ 2.6GHz,128GB SSD +  1TB HDD,Nvidia GeForce GTX 960M
1469Windows 10Intel812.5Intel HD Graphics 620,Elitebook 820,Intel Core i7 7500U 2.7GHz,256GB SSD,Intel HD Graphics 620
1467Windows 10Intel814Intel HD Graphics 620,UX510UX-CN269T (i7-7500U/8GB/256GB,Intel Core i7 7500U 2.7GHz,256GB SSD +  1TB HDD,Intel HD Graphics 620
1462Windows 10Intel1615.6Nvidia GeForce GTX 970M,Alienware 15,Intel Core i7 6700HQ 2.6GHz,256GB SSD +  1TB HDD,Nvidia GeForce GTX 970M
1460Windows 10Intel1215.6Nvidia GeForce GTX 1050,Pavilion Power,Intel Core i7 7700HQ 2.8GHz,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050
1455Windows 10Intel813.3Intel HD Graphics 620,Envy 13-AB002nv,Intel Core i7 7500U 2.7GHz,512GB SSD,Intel HD Graphics 620
1447Windows 10Intel813.3Intel HD Graphics 620,ZenBook Flip,Intel Core i5 8250U 1.6GHz,256GB SSD,Intel HD Graphics 620
1444Windows 10Intel817.3Nvidia GeForce GTX 960M,Rog GL752VW-T4308T,Intel Core i7 6700HQ 2.6GHz,128GB SSD +  1TB HDD,Nvidia GeForce GTX 960M
1436Windows 10Intel1615.6Nvidia GeForce GTX 960,IdeaPad Y700-15ISK,Intel Core i7 6700HQ 2.6GHz,512GB SSD,Nvidia GeForce GTX 960
1434Windows 10Intel815.6Intel HD Graphics 620,Elitebook 850,Intel Core i7 7500U 2.7GHz,256GB SSD,Intel HD Graphics 620
1430Mac OS XIntel812Intel HD Graphics 515,"MacBook 12""",Intel Core M 1.1GHz,256GB Flash Storage,Intel HD Graphics 515
1429Windows 10AMD817.3AMD Radeon RX 580,Rog Strix,AMD Ryzen 1700 3GHz,256GB SSD +  1TB HDD,AMD Radeon RX 580
1429Windows 10Intel1617.3AMD Radeon 530,Inspiron 5770,Intel Core i7 8550U 1.8GHz,256GB SSD +  2TB HDD,AMD Radeon 530
1429Windows 10Intel1615.6Nvidia GeForce GTX 1050 Ti,GP62M 7REX,Intel Core i7 7700HQ 2.8GHz,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti
1429Windows 10Intel815.6Nvidia GeForce GTX 1060,Legion Y720-15IKB,Intel Core i7 7700HQ 2.8GHz,1TB HDD,Nvidia GeForce GTX 1060
1429Windows 10Intel1215.6Intel HD Graphics 530,ZenBook Pro,Intel Core i7 6700HQ 2.6GHz,128GB SSD +  1TB HDD,Intel HD Graphics 530
1429Windows 10Intel815.6Nvidia GeForce GTX 960M,Zenbook UX510UW-FI095T,Intel Core i7 7500U 2.7GHz,256GB SSD +  1TB HDD,Nvidia GeForce GTX 960M
1429Windows 10Intel815.6Intel HD Graphics 630,Yoga 720-15IKB,Intel Core i7 7700HQ 2.8GHz,256GB SSD,Intel HD Graphics 630
1429Windows 10Intel1615.6Nvidia GeForce GTX 1050 Ti,Aspire VX5-591G,Intel Core i5 7300HQ 2.5GHz,256GB SSD,Nvidia GeForce GTX 1050 Ti
1429Windows 10Intel811.3Intel HD Graphics 515,Yoga 700-11ISK,Intel Core M m7-6Y75 1.2GHz,256GB SSD,Intel HD Graphics 515
1429Windows 10Intel1215.6Intel HD Graphics 620,Inspiron 7579,Intel Core i7 7500U 2.7GHz,512GB SSD,Intel HD Graphics 620
1429Windows 10Intel1213.3Intel HD Graphics 620,Inspiron 7378,Intel Core i7 7500U 2.7GHz,256GB SSD,Intel HD Graphics 620
1428Windows 10Intel815.6Intel UHD Graphics 620,Latitude 5590,Intel Core i7 8650U 1.9GHz,256GB SSD +  256GB SSD,Intel UHD Graphics 620
1427Windows 10Intel815.6AMD Radeon R7 M365X,EliteBook 850,Intel Core i7 6500U 2.5GHz,256GB SSD,AMD Radeon R7 M365X
1423Windows 10Intel1615.6Nvidia GeForce GTX 1050,GP62 7RDX,Intel Core i7 7700HQ 2.8GHz,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1050
1421Windows 10Intel814Intel HD Graphics 620,Elitebook 840,Intel Core i7 7500U 2.7GHz,256GB SSD,Intel HD Graphics 620
1414Windows 10Intel413.3Intel HD Graphics 620,Portege X30-D-10X,Intel Core i5 7200U 2.5GHz,128GB SSD,Intel HD Graphics 620
1414Windows 10Intel1615.6Intel UHD Graphics 620,Inspiron 5579,Intel Core i7 8550U 1.8GHz,512GB SSD,Intel UHD Graphics 620
1408Windows 10Intel817.3Nvidia GeForce 930MX,ProBook 470,Intel Core i7 7500U 2.7GHz,1TB HDD,Nvidia GeForce 930MX
1408Windows 10Intel813.3Intel HD Graphics 520,ZenBook UX310UA-WB71,Intel Core i7 6500U 2.5GHz,256GB SSD,Intel HD Graphics 520
1408Windows 10Intel814Intel HD Graphics 620,Latitude 5480,Intel Core i5 7300U 2.6GHz,256GB SSD,Intel HD Graphics 620
1407Windows 10Intel1613.3Intel UHD Graphics 620,Inspiron 5379,Intel Core i7 8550U 1.8GHz,512GB SSD,Intel UHD Graphics 620
1407Windows 10Intel3217.3Nvidia GeForce GTX 980M,G701VO-IH74K (i7-6820HK/32GB/2x,Intel Core i7 6820HK 2.7GHz,256GB SSD +  256GB SSD,Nvidia GeForce GTX 980M
1407Mac OS XIntel812Intel HD Graphics 515,"MacBook 12""",Intel Core M 1.2GHz,512GB Flash Storage,Intel HD Graphics 515
1403Chrome OSIntel812.3Intel HD Graphics 615,Pixelbook (Core,Intel Core i5 7Y57 1.2GHz,128GB SSD,Intel HD Graphics 615
1399Windows 10Intel815.6Nvidia GeForce GTX 960<U+039C>,IdeaPad Y700-15ISK,Intel Core i7 6700HQ 2.6GHz,128GB SSD +  1TB HDD,Nvidia GeForce GTX 960<U+039C>
1398Windows 10Intel1617.3Nvidia GeForce 930MX ,Probook 470,Intel Core i7 8550U 1.8GHz,512GB SSD,Nvidia GeForce 930MX 
1396Windows 10Intel815.6AMD FirePro W4190M ,ZBook 15u,Intel Core i7 7500U 2.7GHz,1TB HDD,AMD FirePro W4190M 
1396Windows 10Intel2417.3Nvidia GeForce GTX 965M,Rog G752VL-UH71T,Intel Core i7 6700HQ 2.6GHz,256GB SSD +  1TB HDD,Nvidia GeForce GTX 965M
1395Windows 10Intel814Intel HD Graphics 620,EliteBook 840,Intel Core i5 7300U 2.6GHz,256GB SSD,Intel HD Graphics 620
1395Windows 10Intel813.3Intel HD Graphics 520,XPS 13,Intel Core i7 6500U 2.5GHz,256GB SSD,Intel HD Graphics 520
1392Windows 10Intel815.6Nvidia GeForce GTX 1050 Ti,GL553VE-FY082T (i7-7700HQ/8GB/1TB,Intel Core i7 7700HQ 2.8GHz,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti
1392Windows 10Intel414Intel HD Graphics 620,Probook 640,Intel Core i5 7200U 2.5GHz,128GB SSD,Intel HD Graphics 620
1389macOSIntel812Intel HD Graphics 615,"MacBook 12""",Intel Core M m3 1.2GHz,256GB SSD,Intel HD Graphics 615
1388Windows 10Intel1615.6Nvidia GeForce MX150,VivoBook S15,Intel Core i7 8550U 1.8GHz,256GB SSD +  1TB HDD,Nvidia GeForce MX150
1388Windows 10Intel815.6Nvidia GeForce 940MX,Inspiron 7570,Intel Core i7 8550U 1.8GHz,512GB SSD,Nvidia GeForce 940MX
1386Windows 10Intel815.6Nvidia GeForce GTX 1050,Nitro 5,Intel Core i7 7700HQ 2.8GHz,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050
1384Windows 10Intel815.6Intel HD Graphics 620,Tecra Z50-D-10E,Intel Core i5 7200U 2.5GHz,256GB SSD,Intel HD Graphics 620
1374Windows 10Intel1615.6Nvidia GeForce GTX 1050,Inspiron 5577,Intel Core i7 7700HQ 2.8GHz,512GB SSD,Nvidia GeForce GTX 1050
1374Windows 10Intel1215.6Nvidia GeForce GTX 1050,Omen 15-ce007nv,Intel Core i7 7700HQ 2.8GHz,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050
1374Windows 10Intel815.6Nvidia GeForce GTX 1050 Ti,Legion Y520-15IKBN,Intel Core i7 7700HQ 2.8GHz,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti
1368Windows 10Intel412.5Intel HD Graphics 520,EliteBook 820,Intel Core i5 6200U 2.3GHz,256GB SSD,Intel HD Graphics 520
1353Windows 10Intel815.6AMD Radeon RX 550,ThinkPad E580,Intel Core i7 8550U 1.8GHz,256GB SSD,AMD Radeon RX 550
1352Windows 10Intel814Intel HD Graphics 520,Latitude E7470,Intel Core i5 6300U 2.4GHz,256GB SSD,Intel HD Graphics 520
1352Windows 10Intel815.6Nvidia GeForce GTX 960M,GE62 Apache,Intel Core i7 6700HQ 2.6GHz,128GB SSD +  1TB HDD,Nvidia GeForce GTX 960M
1352Windows 10Intel815.6Intel HD Graphics 520,EliteBook 850,Intel Core i7 6500U 2.5GHz,256GB SSD,Intel HD Graphics 520
1346Windows 10Intel815.6Intel HD Graphics 620,ZenBook UX510UX-CN211T,Intel Core i7 7500U 2.7GHz,256GB SSD +  1TB HDD,Intel HD Graphics 620
1341Windows 10Intel1615.6AMD Radeon 530,Inspiron 5570,Intel Core i7 8550U 1.8GHz,256GB SSD +  2TB HDD,AMD Radeon 530
1341Windows 10Intel815.6Intel HD Graphics 620,EliteBook 850,Intel Core i7 7500U 2.7GHz,256GB SSD,Intel HD Graphics 620
1337Windows 10Intel814AMD Radeon RX 550,ThinkPad E480,Intel Core i7 8550U 1.8GHz,256GB SSD,AMD Radeon RX 550
1334Windows 10Intel813.3Intel HD Graphics 520,Portege Z30-C-16J,Intel Core i5 6200U 2.3GHz,256GB SSD,Intel HD Graphics 520
1331Windows 10Intel813.3Intel HD Graphics 520,Portege A30-C-1CZ,Intel Core i5 6200U 2.3GHz,256GB SSD,Intel HD Graphics 520
1328Windows 10Intel815.6Nvidia GeForce 940MX,Inspiron 7560,Intel Core i7 7500U 2.7GHz,128GB SSD +  1TB HDD,Nvidia GeForce 940MX
1326Windows 10Intel814Intel HD Graphics 620,Latitude 5480,Intel Core i5 7440HQ 2.8GHz,256GB SSD,Intel HD Graphics 620
1326Windows 10Intel414Intel HD Graphics 620,ProBook 640,Intel Core i5 7200U 2.5GHz,256GB SSD,Intel HD Graphics 620
1320Windows 10Intel817.3Nvidia GeForce 930MX,ProBook 470,Intel Core i7 7500U 2.7GHz,256GB SSD,Nvidia GeForce 930MX
1319No OSIntel815.6Nvidia GeForce MX150,Mi Notebook,Intel Core i5 8250U 1.6GHz,256GB SSD,Nvidia GeForce MX150
1319Windows 10Intel817.3Nvidia GeForce GTX 1050 Ti,GL72M 7REX,Intel Core i7 7700HQ 2.8GHz,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti
1319Windows 10Intel813.3Intel HD Graphics 540,Yoga 900-13ISK,Intel Core i5 6260U 1.8GHz,256GB SSD,Intel HD Graphics 540
1319Windows 10Intel815.6Nvidia GeForce GTX 1050,GL62M 7RD,Intel Core i5 7300HQ 2.5GHz,256GB SSD,Nvidia GeForce GTX 1050
1319Windows 10Intel815.6Nvidia GeForce GTX 1050,GP62M Leopard,Intel Core i7 7700HQ 2.8GHz,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050
1319Windows 10Intel415.6Intel HD Graphics 520,ProBook 650,Intel Core i5 6200U 2.3GHz,500GB HDD,Intel HD Graphics 520
1319Windows 7Intel812.5Intel HD Graphics 520,EliteBook 820,Intel Core i5 6200U 2.3GHz,256GB SSD,Intel HD Graphics 520
1319Windows 7Intel814Intel HD Graphics 520,ThinkPad T460,Intel Core i5 6200U 2.3GHz,180GB SSD,Intel HD Graphics 520
1319Windows 10Intel1615.6Nvidia GeForce GTX 1050 Ti,Legion Y520-15IKBN,Intel Core i7 7700HQ 2.8GHz,512GB SSD,Nvidia GeForce GTX 1050 Ti
1319Windows 10Intel815.6Nvidia GeForce GTX 1050Ti,Inspiron 7567,Intel Core i7 7700HQ 2.8GHz,1TB HDD,Nvidia GeForce GTX 1050Ti
1319Windows 10Intel813.3Intel HD Graphics 620,Inspiron 7378,Intel Core i5 7200U 2.5GHz,256GB SSD,Intel HD Graphics 620
1317Windows 10Intel1613.3Intel UHD Graphics 620,Probook 430,Intel Core i7 8550U 1.8GHz,512GB SSD,Intel UHD Graphics 620
1316Windows 10Intel815.6Nvidia GeForce GTX 960,IdeaPad Y700-15ISK,Intel Core i7 6700HQ 2.6GHz,128GB SSD +  1TB HDD,Nvidia GeForce GTX 960
1315Windows 10Intel815.6Nvidia GeForce GTX 1060,Inspiron 7577,Intel Core i5 7300HQ 2.5GHz,256GB SSD,Nvidia GeForce GTX 1060
1315Windows 7Intel413.3Intel HD Graphics 520,Portege Z30-C-1CV,Intel Core i5 6200U 2.3GHz,128GB SSD,Intel HD Graphics 520
1315Windows 10Intel413.3Intel HD Graphics 520,Portege Z30-C-16H,Intel Core i5 6200U 2.3GHz,128GB SSD,Intel HD Graphics 520
1315Windows 7Intel814Intel HD Graphics 520,Probook 640,Intel Core i5 6200U 2.3GHz,256GB SSD,Intel HD Graphics 520
1312Windows 10Intel814Nvidia GeForce 940MX,UX430UQ-GV209R (i7-7500U/8GB/256GB/GeForce,Intel Core i7 7500U 2.7GHz,256GB SSD,Nvidia GeForce 940MX
1311Windows 10Intel815.6Nvidia GeForce GTX 1050 Ti,GL62M 7REX,Intel Core i7 7700HQ 2.8GHz,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti
1311Windows 10Intel817.3Nvidia GeForce GTX 1050,GL72M 7RDX,Intel Core i7 7700HQ 2.8GHz,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050
1310Windows 10Intel817.3Nvidia GeForce GTX 1050,Omen 17-w212nv,Intel Core i7 7700HQ 2.8GHz,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050
1310Windows 10Intel814Intel HD Graphics 520,Thinkpad T460p,Intel Core i5 6300HQ 2.3GHz,256GB SSD,Intel HD Graphics 520
1308Windows 10Intel815.6Nvidia GeForce GTX 1060,Legion Y520-15IKBN,Intel Core i7 7700HQ 2.8GHz,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1060
1308Windows 10Intel813.3Intel HD Graphics 620,ENVY -,Intel Core i5 7200U 2.5GHz,256GB SSD,Intel HD Graphics 620
1308Windows 10Intel414Intel HD Graphics 620,ProBook 650,Intel Core i5 7200U 2.5GHz,500GB HDD,Intel HD Graphics 620
1306Windows 10Intel817.3Nvidia GeForce GTX 1050,FX753VD-GC071T (i7-7700HQ/8GB/1TB/GeForce,Intel Core i7 7700HQ 2.8GHz,1TB HDD,Nvidia GeForce GTX 1050
1305Windows 10Intel814Intel HD Graphics 520,Thinkpad T460,Intel Core i5 6200U 2.3GHz,256GB SSD,Intel HD Graphics 520
1304Windows 10Intel814Nvidia GeForce 930MX,ProBook 440,Intel Core i7 7500U 2.7GHz,256GB SSD,Nvidia GeForce 930MX
1299Windows 10Intel1615.6AMD Radeon R7 M445,Inspiron 5567,Intel Core i7 7500U 2.7GHz,256GB SSD,AMD Radeon R7 M445
1298Windows 10Intel814Intel HD Graphics 520,Tecra A40-C-1DF,Intel Core i5 6200U 2.3GHz,256GB SSD,Intel HD Graphics 520
1297Windows 10Intel1615.6Nvidia GeForce GTX 1050 Ti,Legion Y520-15IKBN,Intel Core i7 7700HQ 2.8GHz,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti
1297Windows 10Intel814Nvidia GeForce 930MX,Latitude 5480,Intel Core i5 7440HQ 2.8GHz,256GB SSD,Nvidia GeForce 930MX
1297Windows 10Intel815.6Intel HD Graphics 620,Latitude 5580,Intel Core i5 7300U 2.6GHz,256GB SSD,Intel HD Graphics 620
1297Windows 10Intel1615.6Intel HD Graphics 620,Inspiron 5578,Intel Core i7 7500U 2.7GHz,512GB SSD,Intel HD Graphics 620
1286No OSIntel815.6Nvidia GeForce GTX 1050 Ti,ROG GL553VE-FY022,Intel Core i7 7700HQ 2.8GHz,1TB HDD,Nvidia GeForce GTX 1050 Ti
1286Windows 10Intel815.6Nvidia GeForce GTX 1060,FX502VM-DM105T (i7-6700HQ/8GB/1TB/GeForce,Intel Core i7 6700HQ 2.6GHz,1TB HDD,Nvidia GeForce GTX 1060
1286Windows 10Intel815.6Nvidia GeForce GTX 960M,GL62 6QF,Intel Core i7 6700HQ 2.6GHz,128GB SSD +  1TB HDD,Nvidia GeForce GTX 960M
1285Windows 10Intel817.3Nvidia GeForce GTX 1050,FX753VD-GC007T (i7-7700HQ/8GB/1TB,Intel Core i7 7700HQ 2.8GHz,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050
1284Windows 7Intel412.5Intel HD Graphics 520,Latitude E5270,Intel Core i3 6100U 2.3GHz,128GB SSD,Intel HD Graphics 520
1282Mac OS XIntel812Intel HD Graphics 5300,"MacBook 12""",Intel Core M 1.2GHz,512GB Flash Storage,Intel HD Graphics 5300
1282Windows 10Intel815.6Intel HD Graphics 520,Probook 650,Intel Core i5 6200U 2.3GHz,256GB SSD,Intel HD Graphics 520
1279Mac OS XIntel812Intel HD Graphics 5300,"MacBook 12""",Intel Core M 1.1GHz,256GB Flash Storage,Intel HD Graphics 5300
1275Windows 10Intel815.6Nvidia GeForce GTX 1050 Ti,Inspiron 7577,Intel Core i7 7700HQ 2.8GHz,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti
1275Chrome OSIntel812.5Intel HD Graphics 515,Chromebook Flip,Intel Core M M7-6Y75 1.2GHz,64GB Flash Storage,Intel HD Graphics 515
1275Windows 10Intel1615.6Intel UHD Graphics 620,ProBook 450,Intel Core i7 8550U 1.8GHz,512GB SSD,Intel UHD Graphics 620
1275macOSIntel813.3Intel HD Graphics 6000,Macbook Air,Intel Core i5 1.8GHz,256GB Flash Storage,Intel HD Graphics 6000
1269Windows 10Intel815.6AMD FirePro W4190M ,ZBook 15u,Intel Core i5 7200U 2.5GHz,500GB HDD,AMD FirePro W4190M 
1265Windows 10Intel813.3Intel HD Graphics 620,ZenBook UX310UA-FB485T,Intel Core i5 7200U 2.5GHz,256GB SSD,Intel HD Graphics 620
1264Windows 10Intel814Intel UHD Graphics 620,Latitude 5490,Intel Core i5 8250U 1.6GHz,256GB SSD,Intel UHD Graphics 620
1264No OSIntel815.6Nvidia GeForce GTX 1060,Legion Y520-15IKBN,Intel Core i7 7700HQ 2.8GHz,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1060
1264Windows 10Intel813.3Intel HD Graphics 620,Envy 13-AB077cl,Intel Core i7 7500U 2.7GHz,256GB SSD,Intel HD Graphics 620
1264Windows 10Intel414Intel HD Graphics 520,ProBook 640,Intel Core i5 6200U 2.3GHz,500GB HDD,Intel HD Graphics 520
1264Windows 10Intel813.3Intel HD Graphics 620,Spectre 13-V100nv,Intel Core i5 7200U 2.5GHz,256GB SSD,Intel HD Graphics 620
1264Windows 10Intel814Intel HD Graphics 615,SP714-51 (i7-7Y75/8GB/256GB/FHD/W10),Intel Core i7 7Y75 1.3GHz,256GB SSD,Intel HD Graphics 615
1264Windows 10Intel815.6Nvidia GeForce GTX 1050,GL62M 7RDX,Intel Core i7 7700HQ 2.8GHz,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050
1260Windows 10Intel817.3Nvidia GeForce 150MX,VivoBook Pro,Intel Core i7 8550U 1.8GHz,128GB SSD +  1TB HDD,Nvidia GeForce 150MX
1260Windows 10Intel813.3Intel HD Graphics 620,Envy 13-AB020nr,Intel Core i7 7500U 2.7GHz,256GB SSD,Intel HD Graphics 620
1259Windows 10Intel815.6AMD Radeon RX 550,ThinkPad E580,Intel Core i5 8250U 1.6GHz,256GB SSD +  1TB HDD,AMD Radeon RX 550
1258Windows 10Intel815.6Intel HD Graphics 620,Elitebook 850,Intel Core i5 7200U 2.5GHz,256GB SSD,Intel HD Graphics 620
1257Windows 10Intel815.6Nvidia GeForce GTX 1050,GP62M 7RDX,Intel Core i7 7700HQ 2.8GHz,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050
1257Windows 10Intel815.6Nvidia GeForce 940MX,Inspiron 7570,Intel Core i5 8250U 1.6GHz,256GB SSD,Nvidia GeForce 940MX
1257Windows 10Intel815.6AMD Radeon 530,Inspiron 5570,Intel Core i7 8550U 1.8GHz,256GB SSD +  2TB HDD,AMD Radeon 530
